Unnamed: 0.1,Unnamed: 0,restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address
6076,6076,Tango,Quick Bites,3.8,51,200,No,No,Fast Food,Rajajinagar,Basaveshwara Nagar
6077,6077,Tango Bango,"Takeaway, Delivery",3.5,124,500,Yes,No,"Burger, American, Beverages, Desserts, Italian, Salad, Ice Cream, Finger Food",Indiranagar,Jeevan Bhima Nagar
6078,6078,Tango Sandwich King,Quick Bites,3.5,9,200,Yes,No,"Fast Food, Sandwich",Rajajinagar,Basaveshwara Nagar
6079,6079,Tangra Indo - Chinese Cuisine,Food Court,3.5,29,400,Yes,No,"Chinese, Thai",Jayanagar,Jayanagar
6080,6080,TangyLicious,"Takeaway, Delivery",2.6,16,400,Yes,No,Fast Food,"Byresandra,Tavarekere,Madiwala",BTM
6081,6081,Tanna's Kitchen,Quick Bites,3.1,7,250,Yes,No,"Italian, Chinese, Street Food",Banashankari,Kumaraswamy Layout
6082,6082,Tanoor Tandoori,Delivery,2.8,40,550,Yes,No,"North Indian, Mughlai, Chinese, Kebab, Biryani",Bellandur,Bellandur
6083,6083,Tanuja Home Food,Delivery,3.1,18,300,Yes,No,North Indian,Brookefield,Whitefield
6084,6084,Tap House Resto Bar,"Casual Dining, Bar",3.4,183,900,Yes,Yes,"Chinese, North Indian, Thai",Electronic City,Electronic City
6085,6085,Tapout Tavern,"Casual Dining, Pub",4.1,322,1200,Yes,Yes,"American, Asian, Continental, North Indian, South Indian, Chinese",Bellandur,Sarjapur Road
6086,6086,Tapri By The Corner,Quick Bites,4.1,205,250,Yes,No,Fast Food,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
6087,6087,Tarama Bengali Food,Quick Bites,3.2,4,200,No,No,Bengali,Whitefield,Whitefield
6088,6088,Tarbouche,Kiosk,2.8,40,300,Yes,No,"Turkish, Rolls",Basavanagudi,Jayanagar
6089,6089,Targaryen's Kitchen,Casual Dining,3.6,25,550,No,No,"North Indian, Bengali, Chinese",Jayanagar,JP Nagar
6090,6090,Tarlette,Bakery,2.8,40,560,No,No,"Bakery, Fast Food",HSR,HSR
6091,6091,Taruni Andhra Mess,Mess,3.6,23,200,No,No,Andhra,"Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
6092,6092,Taste of Assam,Quick Bites,3.2,23,400,Yes,No,"Assamese, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 4th Block
6093,6093,Taste of Bihar,"Takeaway, Delivery",3.7,29,300,Yes,No,Bihari,Kammanahalli,Rammurthy Nagar
6094,6094,Taste Of India,Quick Bites,3.1,5,400,No,No,"North Indian, Rolls",Bellandur,Bellandur
6095,6095,Taste Of India Family Restaurant,Quick Bites,3.2,232,400,Yes,No,"North Indian, South Indian",Whitefield,Whitefield
6096,6096,Taste Of Kerala,Casual Dining,2.2,48,600,No,No,"Kerala, Seafood",Brigade Road,Residency Road
6097,6097,Taste Of Kolkata,Quick Bites,3.1,59,400,Yes,No,"Bengali, Chinese, Rolls",Bannerghatta Road,BTM
6098,6098,Taste Of Malabar,Quick Bites,3.6,23,350,Yes,No,"South Indian, Kerala, Chinese","Byresandra,Tavarekere,Madiwala",BTM
6099,6099,Taste Of Nawaabs,Casual Dining,3.5,324,600,Yes,No,"North Indian, Mughlai",Kalyan Nagar,Banaswadi
6100,6100,Taste Of Nawaab's,Casual Dining,3.6,22,600,No,No,"North Indian, Chinese",Indiranagar,Domlur
6101,6101,Taste of Nepal,Quick Bites,3.4,27,300,Yes,No,Chinese,Residency Road,Koramangala 8th Block
6102,6102,Taste Of Tibet,Quick Bites,4,336,300,No,No,"Tibetan, Chinese, Momos",Brigade Road,Brigade Road
6103,6103,Tastebuds,"Bakery, Quick Bites",3.7,23,300,Yes,No,"Bakery, Fast Food",Bellandur,Sarjapur Road
6104,6104,Tastie's,"Quick Bites, Beverage Shop",3.2,10,150,No,No,"Fast Food, Beverages, Ice Cream",Malleshwaram,Basaveshwara Nagar
6105,6105,Tasting Room - Bengaluru Oota Company,Casual Dining,4,58,2000,No,No,"Mangalorean, South Indian",Brigade Road,Ulsoor
6106,6106,Tastte!!,Quick Bites,3.7,21,450,Yes,No,"Biryani, North Indian, Chinese",Bannerghatta Road,Bannerghatta Road
6107,6107,Tasty Bites,Quick Bites,3.7,21,150,No,No,"Fast Food, Pizza",Banashankari,Banashankari
6108,6108,Tasty Box,Quick Bites,2.9,6,250,Yes,No,"North Indian, South Indian, Arabian, Mughlai, Chinese, Biryani",Malleshwaram,Yeshwantpur
6109,6109,Tasty Bytes,Quick Bites,3.1,245,300,Yes,No,"North Indian, Chinese, Momos, Rolls",Banashankari,Kumaraswamy Layout
6110,6110,Tasty Corner,Quick Bites,3.6,13,200,No,No,South Indian,New BEL Road,New BEL Road
6111,6111,Tasty Fast Food,Quick Bites,3.2,4,250,No,No,"North Indian, Chinese",New BEL Road,New BEL Road
6112,6112,Tasty Food,Quick Bites,2.8,40,300,Yes,No,"North Indian, Chinese",Brookefield,Whitefield
6113,6113,Tasty Funda,Quick Bites,3.3,4,200,No,No,"North Indian, Chinese",Electronic City,Electronic City
6114,6114,Tasty Homely Food,"Takeaway, Delivery",2.8,40,350,Yes,No,"North Indian, Chinese, Fast Food, Street Food, Mithai",Brookefield,"ITPL Main Road, Whitefield"
6115,6115,Tasty Jigarthanda,Beverage Shop,3.4,10,150,Yes,No,"Beverages, Ice Cream",Bannerghatta Road,BTM
6116,6116,Tasty Khaana Khazana,Quick Bites,3.3,6,300,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Bommanahalli
6117,6117,Tasty King,Quick Bites,3.4,8,400,No,No,"South Indian, North Indian, Chinese",Lavelle Road,RT Nagar
6118,6118,Tasty Kitchens,Quick Bites,2.8,40,500,Yes,No,Pizza,Koramangala 4th Block,Koramangala 6th Block
6119,6119,Tasty Magic,Casual Dining,2.7,73,600,Yes,No,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala",BTM
6120,6120,Tasty Munch,Quick Bites,3.6,60,200,Yes,No,"Fast Food, Street Food, Momos",Malleshwaram,Rajajinagar
6121,6121,Tasty Noodle,Quick Bites,3.4,5,400,Yes,No,"Chinese, Seafood","Byresandra,Tavarekere,Madiwala",HSR
6122,6122,Tasty Paradise,Casual Dining,3.7,98,550,Yes,No,"North Indian, Mughlai, Chinese, Beverages",Lavelle Road,Malleshwaram
6123,6123,Tasty Point,Delivery,3.3,9,300,Yes,No,"Burger, Sandwich, Finger Food",Bannerghatta Road,Bannerghatta Road
6124,6124,Tasty Restaurant,Quick Bites,2.8,40,300,No,No,"Kerala, South Indian, Chinese",Bannerghatta Road,JP Nagar
6125,6125,Tasty Treat,Quick Bites,3.1,131,400,Yes,No,"North Indian, Chinese, Biryani, Rolls",HSR,HSR
6126,6126,Tasty Yum,Quick Bites,2.8,40,300,No,No,"South Indian, Mughlai",Bellandur,Sarjapur Road
6127,6127,Tastybites.com,Quick Bites,3.7,82,150,Yes,No,"Fast Food, Sandwich, South Indian",Brookefield,Brookefield
6128,6128,Tata Cha,"Beverage Shop, Cafe",3.2,9,500,Yes,No,"Cafe, Tea, North Indian",Malleshwaram,Malleshwaram
6129,6129,Tattva Cafe,Cafe,2.8,227,450,No,No,Cafe,Koramangala 4th Block,Koramangala 6th Block
6130,6130,Tawa,Quick Bites,3.4,25,200,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
6131,6131,Tawa Fresh,Quick Bites,3.4,12,300,Yes,No,"Seafood, Biryani, South Indian, North Indian, Rolls",Kalyan Nagar,Hennur
6132,6132,Tawa Ghar Ka,Quick Bites,3.8,331,350,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",HSR
6133,6133,Tawa Sagara,Casual Dining,3.8,122,,No,No,"Mangalorean, Seafood",Jayanagar,Jayanagar
6134,6134,Tawa Tandoor,Casual Dining,3.9,116,700,Yes,Yes,"North Indian, Chinese",New BEL Road,New BEL Road
6135,6135,Tayabbs,Quick Bites,3,9,500,Yes,No,"Rolls, North Indian, Fast Food",Church Street,Frazer Town
6136,6136,Tayo Restaurant,Casual Dining,3.9,44,600,No,No,"North Indian, Chinese, Mughlai",Electronic City,Electronic City
6137,6137,Taza Khaana,Delivery,3,175,450,Yes,No,"Chinese, North Indian","Byresandra,Tavarekere,Madiwala",HSR
6138,6138,Taza Tawa,Casual Dining,3.2,41,550,No,No,"North Indian, Chinese, Kebab, Beverages",Sarjapur Road,Sarjapur Road
6139,6139,TBC - The Breakfast Company,Quick Bites,3.8,26,150,Yes,No,"Bihari, North Indian, South Indian",Brookefield,Marathahalli
6140,6140,TBC Sky Lounge,"Casual Dining, Bar",4.7,6745,1000,No,Yes,"Continental, Asian, Italian, North Indian",HSR,HSR
6141,6141,TBC- Sky Lounge,"Casual Dining, Bar",4.4,619,1000,No,Yes,"Continental, Asian, Italian, North Indian",Marathahalli,Marathahalli
6142,6142,Tea Addict,Cafe,4,77,300,Yes,No,"Cafe, Beverages",HSR,HSR
6143,6143,Tea and Wine Lounge,Cafe,3.5,10,800,No,No,"Cafe, Tea, Desserts",Brigade Road,Race Course Road
6144,6144,Tea Break Lounge,Quick Bites,3.3,5,400,Yes,No,"Beverages, Fast Food",Brigade Road,Brigade Road
6145,6145,Tea Brew,"Cafe, Casual Dining",4.1,1141,500,Yes,No,"Cafe, Continental, Momos, Italian, North Indian",Indiranagar,Indiranagar
6146,6146,Tea Journey,Cafe,3.8,71,,No,No,Cafe,MG Road,Indiranagar
6147,6147,Tea Samskruthi,Cafe,3.9,18,200,No,No,Cafe,Malleshwaram,Malleshwaram
6148,6148,Tea Totallers,Cafe,2.9,19,500,Yes,No,"Cafe, Continental, Tea",Bellandur,Bellandur
6149,6149,Tea Trails,Cafe,2.8,40,600,Yes,No,"Continental, Tea, Fast Food, Italian",Koramangala 4th Block,HSR
6150,6150,Tea Villa Cafe,"Cafe, Casual Dining",4.2,656,800,No,Yes,"Cafe, Continental, Mediterranean, Italian, Desserts",Jayanagar,Jayanagar
6151,6151,TeamDelish,Delivery,3.4,9,300,No,No,Healthy Food,Electronic City,Electronic City
6152,6152,Teapoy Mutiny,Cafe,4.1,98,500,Yes,No,"Cafe, Continental, American, Beverages",Kalyan Nagar,Hennur
6153,6153,Tease Whitefield,Lounge,3.7,64,1800,No,Yes,Finger Food,Whitefield,Whitefield
6154,6154,Teashot,Cafe,2.9,24,150,No,No,Cafe,Brookefield,Whitefield
6155,6155,Teburu,Casual Dining,4.4,203,800,Yes,No,"Asian, Chinese, Japanese, BBQ",Kalyan Nagar,Kalyan Nagar
6156,6156,Techies Kitchen,Delivery,3.5,197,400,Yes,No,"Biryani, North Indian",Whitefield,"ITPL Main Road, Whitefield"
6157,6157,Tella Tales,Cafe,4.2,413,700,Yes,No,"Cafe, Desserts, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block
6158,6158,Tellimagic Restaurant,Quick Bites,3.5,12,400,Yes,No,"North Indian, South Indian, Chinese",Electronic City,Electronic City
6159,6159,Telugu Velugu,Food Court,3,6,300,No,No,"South Indian, Biryani",Bellandur,Bellandur
6160,6160,Temple Meals,Quick Bites,3.8,76,200,No,No,South Indian,Malleshwaram,Malleshwaram
6161,6161,Temptation,Quick Bites,2.8,40,300,No,No,"North Indian, South Indian",Brookefield,Whitefield
6162,6162,Tempteys,"Beverage Shop, Dessert Parlor",3.7,39,500,Yes,No,Beverages,Bellandur,HSR
6163,6163,Tempura Restaurant,Casual Dining,3.9,122,500,No,No,"Japanese, Chinese, Tibetan, Momos",Brigade Road,Brigade Road
6164,6164,Tenco Infusions,Beverage Shop,3.5,15,200,No,No,"Beverages, Salad",Indiranagar,Indiranagar
6165,6165,Tenzin Kitchen,Quick Bites,4.2,522,450,Yes,No,"Tibetan, Chinese, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 7th Block
6166,6166,Teppan Japanese Grill & Sushi Bar,Casual Dining,4.3,901,2000,Yes,No,Japanese,Brigade Road,Ulsoor
6167,6167,Terminus Tiffin Meal Service,Delivery,2.8,40,200,No,No,North Indian,New BEL Road,North Bangalore
6168,6168,Terra Bites,"Cafe, Casual Dining",4,61,700,Yes,No,"Cafe, Italian, Continental","Byresandra,Tavarekere,Madiwala",Koramangala 4th Block
6169,6169,Terrace Lounge,Lounge,3.6,25,1600,No,No,"North Indian, Chinese, Seafood",Bannerghatta Road,Bannerghatta Road
6170,6170,Terracotta Whitefield,Fine Dining,4,244,3000,No,Yes,"North Indian, Lucknowi, Afghan",Whitefield,Whitefield
6171,6171,Tetto,"Casual Dining, Bar",3.7,130,1200,Yes,No,Continental,"Byresandra,Tavarekere,Madiwala",Koramangala 1st Block
6172,6172,Tewari Bros Mithai Shoppie,Sweet Shop,3.8,59,300,Yes,No,"Fast Food, Mithai",Brigade Road,Commercial Street
6173,6173,TFC - Tony's Food Corner,Casual Dining,3.1,23,400,Yes,No,"North Indian, Chinese",Indiranagar,"ITPL Main Road, Whitefield"
6174,6174,TFI - The Fresh Ice Cream,Dessert Parlor,3.2,41,400,Yes,No,"Ice Cream, Beverages",Bannerghatta Road,Bannerghatta Road
6175,6175,TGI Fridays,Lounge,3.9,1337,1700,Yes,Yes,"American, Burger, Italian, Steak",Bannerghatta Road,Bannerghatta Road
6176,6176,TGS Retails,"Takeaway, Delivery",3.3,4,600,No,No,"Bakery, Desserts","Byresandra,Tavarekere,Madiwala",HSR
6177,6177,Thai & Chinese Fast Food,Quick Bites,3.4,7,400,No,No,"Chinese, Thai",Whitefield,KR Puram
6178,6178,Thai Chy,Casual Dining,4.3,367,1200,Yes,Yes,"Thai, Asian, Indonesian",Indiranagar,Indiranagar
6179,6179,Thai House,Casual Dining,4.2,125,700,Yes,No,Thai,Indiranagar,Brigade Road
6180,6180,Thalaserry Food Court,Casual Dining,3.5,21,600,No,No,"Kerala, Biryani, Seafood, North Indian, Chinese",Whitefield,Whitefield
6181,6181,Thalassery Cafe,Quick Bites,3.4,7,150,No,No,Street Food,"Byresandra,Tavarekere,Madiwala",BTM
6182,6182,Thalassery Food Court,Casual Dining,3.1,4,500,No,No,"Kerala, North Indian, Chinese",Bannerghatta Road,Bannerghatta Road
6183,6183,Thalassery Hotel,Quick Bites,2.8,40,300,No,No,"Kerala, South Indian",Bannerghatta Road,Bannerghatta Road
6184,6184,Thalassery Mess,Mess,3.3,7,300,No,No,Kerala,HSR,HSR
6185,6185,Thalassery Plaza,Quick Bites,3.5,33,400,Yes,No,"Kerala, North Indian, Chinese",Kammanahalli,Hennur
6186,6186,Thalassery Restaurant,Casual Dining,2.8,40,600,Yes,No,"Seafood, Biryani, South Indian, North Indian, Chinese, Arabian, Kebab, Kerala",Bannerghatta Road,Bannerghatta Road
6187,6187,Thalis Of India,Delivery,3.3,7,500,Yes,No,"South Indian, North Indian, Beverages",Bellandur,Sarjapur Road
6188,6188,Thamboola,Casual Dining,3.8,139,800,Yes,No,"North Indian, Chinese, Continental",Jayanagar,Banashankari
6189,6189,Thanco's Natural Ice Cream,Dessert Parlor,3.1,8,450,No,No,"Ice Cream, Desserts",Rajajinagar,Rajajinagar
6190,6190,Thanco's Natural Ice Creams,Dessert Parlor,3.2,9,300,No,No,Ice Cream,Banashankari,Banashankari
6191,6191,Thanco's Naturals Ice Cream,Dessert Parlor,3.6,21,450,Yes,No,"Ice Cream, Desserts",Marathahalli,Marathahalli
6192,6192,Thanima Garden Restaurant,Casual Dining,3.6,163,500,Yes,No,"North Indian, Chinese, Kerala",Electronic City,Electronic City
6193,6193,Thanishka Nati And Karavali Style,Quick Bites,2.8,40,400,No,No,"Biryani, Fast Food",Banashankari,Banashankari
6194,6194,Tharavadu,Quick Bites,3.8,83,400,Yes,No,"Chinese, North Indian, Kerala",HSR,HSR
6195,6195,That Garage Cafe,Cafe,3.1,40,650,Yes,No,"Cafe, Italian, Continental, European",Bellandur,HSR
6196,6196,Thayee Touch,Casual Dining,3.6,30,450,No,No,"North Indian, Chinese, South Indian",Bannerghatta Road,JP Nagar
6197,6197,The 13th Floor,Lounge,4.4,4575,1700,No,Yes,"Asian, North Indian, Thai",Brigade Road,MG Road
6198,6198,The 3 Musketeers,Dessert Parlor,3.2,5,200,No,No,"Ice Cream, Desserts",Brookefield,Whitefield
6199,6199,The 90s Hash House,Cafe,3.8,63,500,No,No,Cafe,"Byresandra,Tavarekere,Madiwala",BTM
6200,6200,The Adukkala Restaurant,Casual Dining,3.6,40,500,Yes,No,Kerala,Brigade Road,Brigade Road
6201,6201,The Airos,Cafe,4.1,130,650,Yes,No,"Cafe, Italian, Pizza",Banashankari,Jayanagar
6202,6202,The Alphaa,Casual Dining,3.8,272,550,Yes,No,"Andhra, North Indian, Chinese, Biryani, Seafood",HSR,Bommanahalli
6203,6203,The Andhra Bhojanam,Bhojanalya,3.2,4,300,Yes,No,South Indian,Brookefield,"ITPL Main Road, Whitefield"
6204,6204,The Ants Cafe & Store,Cafe,3.9,1380,900,Yes,Yes,"Cafe, Italian",Indiranagar,Indiranagar
6205,6205,The Arabesque Cafe,Casual Dining,4.1,40,600,No,No,"American, Continental, Chinese",Koramangala 4th Block,Koramangala 4th Block
6206,6206,The Arabian Nights,"Takeaway, Delivery",2.6,51,300,Yes,No,"Arabian, North Indian, Chinese","Byresandra,Tavarekere,Madiwala",BTM
6207,6207,The Asian Curry House,Casual Dining,4.5,785,1000,Yes,No,"Vietnamese, Thai, Burmese, Japanese",Malleshwaram,Malleshwaram
6208,6208,The Bahubali,Casual Dining,3.4,153,800,Yes,Yes,"North Indian, Chinese",Marathahalli,Marathahalli
6209,6209,The Baker's,"Bakery, Quick Bites",2.4,32,500,No,No,"Bakery, Fast Food",HSR,HSR
6210,6210,The Bakery World,Bakery,3.2,5,250,No,No,"Bakery, Desserts",Church Street,Frazer Town
6211,6211,The Banana Kick,Cafe,3.3,8,600,Yes,No,"Cafe, Beverages",Malleshwaram,New BEL Road
6212,6212,The Bangalore Cafe,Casual Dining,4.1,473,800,No,Yes,"Modern Indian, North Indian, Pizza, Continental, Beverages",Brigade Road,Shanti Nagar
6213,6213,The Bao Belly,Cafe,3.3,9,,No,No,Cafe,Residency Road,Residency Road
6214,6214,The Bar Stock Exchange,"Pub, Casual Dining",4.2,634,1300,No,No,"Continental, Chinese, North Indian, Finger Food",Lavelle Road,St. Marks Road
6215,6215,The Bar Therapy,Bar,2.8,40,800,No,No,"Continental, Chinese",HSR,Koramangala 1st Block
6216,6216,The Barn - Bar & Kitchen,Pub,4.2,240,1500,No,Yes,"American, North Indian, Chinese",Brigade Road,Brigade Road
6217,6217,The Bawarchi,Casual Dining,2.5,256,1050,Yes,No,"North Indian, Chinese",Kammanahalli,Banaswadi
6218,6218,The Beer Cafe,Pub,4.1,673,1400,Yes,Yes,"Finger Food, North Indian, Chinese, Italian",Whitefield,Whitefield
6219,6219,The Beer Joint,Casual Dining,3.4,77,800,No,No,"North Indian, Chinese",Indiranagar,Indiranagar
6220,6220,THE BEL ST.,"Cafe, Casual Dining",3.9,523,1100,No,No,"Cafe, Italian, American, Continental",New BEL Road,New BEL Road
6221,6221,The Belgian Waffle Co.,Dessert Parlor,3.7,15,350,Yes,No,"Desserts, Beverages",New BEL Road,Sahakara Nagar
6222,6222,The Belgian Waffle Company,Dessert Parlor,3.9,48,250,Yes,No,Desserts,Brookefield,Brookefield
6223,6223,The Bengal Rasoi,Delivery,3.2,5,350,No,No,Bengali,Marathahalli,Kaggadasapura
6224,6224,The Bengaluru Brasserie - Hyatt Centric MG Road,Casual Dining,4.1,117,2000,No,Yes,"Continental, Asian, North Indian, South Indian",Brigade Road,Ulsoor
6225,6225,The Bier Library,"Microbrewery, Casual Dining",4.3,552,2000,Yes,Yes,"Continental, North Indian, Pizza, BBQ",Koramangala 4th Block,Koramangala 6th Block
6226,6226,The Biere Club,"Pub, Microbrewery",4.3,2283,1700,No,Yes,"Continental, BBQ, Finger Food",Whitefield,Whitefield
6227,6227,The Big Barbeque,Casual Dining,4.7,524,1500,No,Yes,"BBQ, North Indian, Continental, Chinese",Electronic City,Electronic City
6228,6228,The Big Bellyz,Quick Bites,3.9,105,300,Yes,No,"Fast Food, Beverages, Momos",Malleshwaram,Malleshwaram
6229,6229,The Big Grill,Quick Bites,3.4,9,400,No,No,"North Indian, Chinese, Mughlai",Marathahalli,Marathahalli
6230,6230,The Big O Bakes,Bakery,4,66,300,No,No,"Bakery, Desserts",Banashankari,Banashankari
